English,Spanish
night,noche
water,agua
four,quatro
ten,diez
dog,perro
shoes,zapatos
things,cosas
sad,triste
school,escuela
head,cabeza
eyes,ojos
bear,oso
red,rojo
money,dinero
fruit,fruta
book,libro
ears,orejas
boy,chico
girl,chica
to like,gustar
fish,pescado
meat,carne
homework,tarea
salad,ensalada
apple,manzana
